06.06.25 Dynamic List Display                                                  1


	/BIC/MD_RS	TXTLG

	      0001	A BIKE STORE
	      0002	PROGRESSIVE SPORTS
	      0003	ADVANCED BIKE COMPONENTS
	      0004	MODULAR CYCLE SYSTEMS
	      0005	METROPOLITAN SPORTS SUPPLY
	      0006	AEROBIC EXERCISE COMPANY
	      0007	ASSOCIATED BIKES
	      0008	EXEMPLARY CYCLES
	      0009	TANDEM BICYCLE STORE
	      0010	RURAL CYCLE EMPORIUM
	      0011	SHARP BIKES
	      0012	BIKES AND MOTORBIKES
	      0013	COUNTRY PARTS SHOP
	      0014	BICYCLE WAREHOUSE INC.
	      0015	BUDGET TOY STORE
	      0016	BULK DISCOUNT STORE
	      0017	TRUSTED CATALOG STORE
	      0018	CATALOG STORE
	      0019	CENTER CYCLE SHOP
	      0020	CENTRAL DISCOUNT STORE
	      0021	CHIC DEPARTMENT STORES
	      0022	TRAVEL SYSTEMS
	      0023	BIKE WORLD
	      0024	EASTSIDE DEPARTMENT STORE
	      0025	COALITION BIKE COMPANY
	      0026	STYLISH DEPARTMENT STORES
	      0027	SPORTS SALES AND RENTAL
	      0028	COMMUTER BICYCLE STORE
	      0029	CROSS-COUNTRY RIDING SUPPLIES
	      0030	CYCLE MERCHANTS
	      0031	WHEELS INC.
	      0032	PRECISION GEARS INC.
	      0033	GLOBAL SPORTS OUTLET
	      0034	CYCLES WHOLESALER & MFG.
	      0035	ECONOMIC PARTS SUPPLY
	      0036	EXOTIC BIKES
	      0037	TWO BIKE SHOPS
	      0038	FINER MART
	      0039	FITNESS HOTEL
	      0040	JOURNEY SPORTING GOODS
	      0041	DISTANT INN
	      0042	HEALTHY ACTIVITY STORE
	      0043	FRUGAL BIKE SHOP
	      0044	GAMES AND SPORT SUPPLY COMPANY
	      0045	EVERY BIKE SHOP
	      0046	GEAR-SHIFT BIKES LIMITED
	      0047	GREATER BIKE STORE
	      0048	GRAND INDUSTRIES
	      0049	NEIGHBORHOOD BICYCLE STOREHOUSE
	      0050	HOMETOWN RIDING SUPPLIES
	      0051	IDEAL COMPONENTS
	      0052	INSTRUMENTS AND PARTS COMPANY
	      0053	INCOMPARABLE BICYCLE STORE
	      0054	LARGER CYCLE SHOP
